Ingredient ID,Ingredient,measurement,package size,price,double_observation,responsible,,,Conversion Table,,
InID234,peppermint schnapps,ml,700,6.99,,Felix,,,,,
InID235,pepsi cola,ml,1500,0.95,,Felix,,,,,
InID236,peychaud bitters,ml,148,12.9,,Felix,,,,,
InID237,pina colada mix,ml,700,7.19,,Felix,,,,,
InID238,pineapple,piece,1,1.99,,Felix,,,,,
InID239,pineapple juice,ml,1000,1.59,,Felix,,,,,
InID240,pineapple syrup,ml,700,10.93,,Felix,,,,,
InID241,pink lemonade,ml,125,1.1,,Felix,,,,,
InID242,pisang ambon,ml,1000,14.99,,Felix,,,,,
InID243,pisco,ml,700,16.92,,Felix,,,,,
InID244,port,ml,750,20.55,,Felix,,,,,
InID245,powdered sugar,g,250,0.25,,Felix,,,,,
InID246,prosecco,ml,750,6.49,,Felix,,,,,
InID247,raspberry liqueur,ml,500,22.95,,Felix,,,,,
InID248,raspberry syrup,ml,700,10.65,,Felix,,,,,
InID249,raspberry vodka,ml,700,23.99,,Felix,,,,,
InID250,red wine,ml,1000,3.79,,Felix,,,,,
InID251,ricard,ml,700,18.99,,Felix,,,,,
InID252,root beer,ml,330,1.08,,Felix,,,,,
InID253,rum,ml,1000,19.99,,Felix,,,,,
InID254,rumple minze,ml,700,59.99,,Felix,,,,,
InID255,rye whiskey,ml,700,39.09,,Felix,,,,,
InID256,salt,g,500,0.85,,Felix,,,,,
InID257,sambuca,ml,700,14.49,,Felix,,,,,
InID258,sarsaparilla,ml,500,23.46,,Felix,,,,,
InID259,schweppes russchian,ml,1250,2.99,,Felix,,,,,
InID260,scotch,ml,700,12.89,,Felix,,,,,
InID261,sherbet,piece,1,0.7,,Felix,,,,,
InID262,sherry,ml,750,5.99,,Felix,,,,,
InID263,sirup of roses,ml,700,7.5,,Felix,,,,,
InID264,sloe gin,ml,700,17.95,,Felix,,,,,
InID265,soda water,ml,1000,0.37,,Felix,,,,,
InID266,sour mix,ml,1000,7.5,,Felix,,,,,
InID267,southern comfort,ml,1000,11.9,,Felix,,,,,
InID268,spiced rum,ml,700,13.99,,Felix,,,,,
InID269,sprite,ml,1000,1.08,,Felix,,,,,
InID270,st. germain,ml,500,24.99,,Felix,,,,,
InID271,strawberries,g,250,3.29,,Felix,,,,,
InID272,strawberry liqueur,ml,700,12.99,,Felix,,,,,
InID273,strawberry schnapps,ml,700,12.99,strawberry liqueur,Felix,,,,,
InID274,sugar,g,1000,1.49,,Felix,,,,,
InID275,sugar syrup,ml,250,4.69,,Felix,,,,,
InID276,surge,ml,473,2.2,,Felix,,,,,
InID277,sweet and sour,ml,1000,7.5,sour mix,Felix,,,,,
